target_id,target_name,similar_id,similar_name,overall_score,contour_score,iou_score,radial_score,geometric_score
1,bulbasaur,108,lickitung,0.927426873437973,0.9832188180179711,0.7986127784447112,0.9869678124131162,0.9716195021474795
1,bulbasaur,114,tangela,0.9270845622881979,0.9449623043940394,0.8502629848783695,0.9816260273684561,0.9769553959338012
1,bulbasaur,100,voltorb,0.9191016796549553,0.9620557489938683,0.8264220749190689,0.991261932334296,0.8810037111482808
1,bulbasaur,35,clefairy,0.9131710121392677,0.9252841846319932,0.829035786841694,0.990896104467415,0.9616738134047912
1,bulbasaur,101,electrode,0.9124730540579834,0.9617658825269034,0.8092257247186825,0.9906957112925349,0.8685984137311031
1,bulbasaur,90,shellder,0.900075724597078,0.9640092491517092,0.7533318944585334,0.9869652359922787,0.9107940940037846
1,bulbasaur,38,ninetales,0.8884375932915652,0.9761558874939699,0.7328160827600917,0.9664877471767294,0.8483286403060389
1,bulbasaur,92,gastly,0.8879611290698479,0.92990461813882,0.7620320855614974,0.9876001010156314,0.8986963594274445
1,bulbasaur,132,ditto,0.8871470025938238,0.9378296843526155,0.7486477626618587,0.9817721332346606,0.9106637340728787
1,bulbasaur,113,chansey,0.8846045350735661,0.9291628059679632,0.7493431717815418,0.9860133605353849,0.9093378904484124
1,bulbasaur,29,nidoran-f,0.8834227020700443,0.9457789536000473,0.7382564939480484,0.976861843914452,0.8826180366272041
1,bulbasaur,76,golem,0.883082084434926,0.9438190312032669,0.7393443544759334,0.9830836470531203,0.8713443620021506
1,bulbasaur,2,ivysaur,0.8825590251463166,0.9055731354501276,0.7887616481419109,0.9893804970626745,0.8582517711115731
1,bulbasaur,111,rhyhorn,0.8820432130571457,0.9091772085108517,0.7620391168575029,0.9845045839875721,0.9285967779803974
1,bulbasaur,36,clefable,0.881894282814966,0.9362190288662556,0.7552254181690027,0.981593277101462,0.8452039039747045
1,bulbasaur,140,kabuto,0.8810329682675622,0.8981306428229946,0.7890712581563137,0.9878040257355967,0.8749852854435082
1,bulbasaur,51,dugtrio,0.8809474030953665,0.9150059853696587,0.7416542976656322,0.9814437350514038,0.961599726375325
1,bulbasaur,39,jigglypuff,0.876501953566163,0.9062454112431646,0.7394503171247357,0.9865788839903077,0.9485291713341485
1,bulbasaur,32,nidoran-m,0.873662688940657,0.9479728932711051,0.728479157620495,0.9727245503431727,0.8138487427743196
1,bulbasaur,143,snorlax,0.8706921562978981,0.9097135667865444,0.7321565617805065,0.9852494824783794,0.9010986455345245
1,bulbasaur,3,venusaur,0.870341981871897,0.9676661270802511,0.6901514931232008,0.9744995009008747,0.8133018292266139
1,bulbasaur,59,arcanine,0.8639833997816783,0.9233873957144252,0.7451856460141957,0.9593351042714121,0.7920572683736706
1,bulbasaur,80,slowbro,0.8628119535571402,0.8989282128123771,0.7446837663049436,0.9723404946894965,0.8536743960280705
1,bulbasaur,50,diglett,0.8575505559276735,0.9010540162461564,0.688272820351264,0.9744384092324229,0.9575942147734713
1,bulbasaur,119,seaking,0.855995260486221,0.9277245979233242,0.6838351822503962,0.9733050310250569,0.8509386043676105
1,bulbasaur,138,omanyte,0.8540403715306568,0.8765950598072023,0.7237532460649743,0.9706977882406079,0.9213681614016194
1,bulbasaur,121,starmie,0.850854155855518,0.8844515048345785,0.7199934590646463,0.9752223483351571,0.8603104653526132
1,bulbasaur,8,wartortle,0.8471728020694413,0.88862838557502,0.7125006941744877,0.9731402189086884,0.8334319580534933
1,bulbasaur,94,gengar,0.8441521477369801,0.875926401654438,0.708984375,0.9828927074259237,0.8450773309002015
1,bulbasaur,54,psyduck,0.8393855622021554,0.9128564670561093,0.6588418079096046,0.9692282114407452,0.8274479071868125
1,bulbasaur,139,omastar,0.8380932622574281,0.8992454431292288,0.6823846219955882,0.9798962758097103,0.7770044324511794
1,bulbasaur,45,vileplume,0.8357532316445766,0.8502757922855955,0.7121684210526316,0.9688144995820135,0.8822948849814622
1,bulbasaur,9,blastoise,0.8323712350152724,0.8583288093475477,0.6946095076400679,0.9722059610059383,0.862156667830453
1,bulbasaur,71,victreebel,0.8291322480827017,0.8930122379769433,0.6484517304189436,0.9768930060329893,0.8201323255964343
1,bulbasaur,102,exeggcute,0.8271648256263255,0.8322879139740997,0.7066454781854955,0.9673130139479745,0.8879341379144206
1,bulbasaur,124,jynx,0.823953425251283,0.9141333416939645,0.6363240544541523,0.9563056704130717,0.7614173815483719
